StepID,DOY,Time1,Time2,Hours,StepLength,SL_Hour,Pack,,
63,360,25/12/2021 15:00,25/12/2021 19:00,4,1542.333527,385.5833819,Roosevelt,,
64,360,25/12/2021 19:00,25/12/2021 23:00,4,831.9271449,207.9817862,Roosevelt,,
65,360,25/12/2021 23:00,26/12/2021 3:00,4,275.3701617,68.84254043,Roosevelt,,
66,361,26/12/2021 3:00,26/12/2021 7:00,4,13.41855736,3.354639341,Roosevelt,,
67,361,26/12/2021 7:00,26/12/2021 11:00,4,835.4299084,208.8574771,Roosevelt,,
68,361,26/12/2021 11:00,26/12/2021 15:00,4,0.539811081,0.13495277,Roosevelt,,
69,361,26/12/2021 15:00,26/12/2021 19:00,4,22.06643038,5.516607596,Roosevelt,,
70,361,26/12/2021 19:00,26/12/2021 23:00,4,4011.06996,1002.76749,Roosevelt,,
71,361,26/12/2021 23:00,27/12/2021 3:01,4.016666667,1068.940634,267.2351584,Roosevelt,,
72,362,27/12/2021 3:01,27/12/2021 7:00,3.983333333,2225.337264,556.334316,Roosevelt,,
73,362,27/12/2021 7:00,27/12/2021 11:00,4,1.339356145,0.334839036,Roosevelt,,
74,362,27/12/2021 11:00,27/12/2021 15:00,4,2259.379426,564.8448566,Roosevelt,,
75,362,27/12/2021 15:00,27/12/2021 19:00,4,2219.097008,554.7742519,Roosevelt,,
76,362,27/12/2021 19:00,27/12/2021 23:00,4,997.7757989,249.4439497,Roosevelt,,
77,362,27/12/2021 23:00,28/12/2021 3:00,4,6.376320997,1.594080249,Roosevelt,,
78,363,28/12/2021 3:00,28/12/2021 7:00,4,26.28347087,6.570867716,Roosevelt,,
79,363,28/12/2021 7:00,28/12/2021 11:00,4,5.042381869,1.260595467,Roosevelt,,
80,363,28/12/2021 11:00,28/12/2021 15:01,4.016666667,26.84499194,6.711247984,Roosevelt,,
81,363,28/12/2021 15:01,28/12/2021 19:00,3.983333333,40.38299155,10.09574789,Roosevelt,,
82,363,28/12/2021 19:00,28/12/2021 23:00,4,3.712091247,0.928022812,Roosevelt,,
83,363,28/12/2021 23:00,29/12/2021 3:00,4,28.69929253,7.174823131,Roosevelt,,
84,364,29/12/2021 3:00,29/12/2021 7:00,4,38.43258165,9.608145412,Roosevelt,,
85,364,29/12/2021 7:00,29/12/2021 11:01,4.016666667,27.30802923,6.827007306,Roosevelt,,
86,364,29/12/2021 11:01,29/12/2021 15:00,3.983333333,105.2619651,26.31549128,Roosevelt,,
87,364,29/12/2021 15:00,29/12/2021 19:00,4,1.026697649,0.256674412,Roosevelt,,
88,364,29/12/2021 19:00,29/12/2021 23:00,4,1.026697649,0.256674412,Roosevelt,,
89,364,29/12/2021 23:00,30/12/2021 3:00,4,4.409057603,1.102264401,Roosevelt,,
90,365,30/12/2021 3:00,30/12/2021 7:00,4,14.62006701,3.655016752,Roosevelt,,
91,365,30/12/2021 7:00,30/12/2021 11:00,4,95.15094743,23.78773686,Roosevelt,,
92,365,30/12/2021 11:00,30/12/2021 15:01,4.016666667,28.06042955,7.015107387,Roosevelt,,
93,365,30/12/2021 15:01,30/12/2021 19:00,3.983333333,31.15213747,7.788034368,Roosevelt,,
94,365,30/12/2021 19:00,30/12/2021 23:00,4,75.89717233,18.97429308,Roosevelt,,
95,365,30/12/2021 23:00,31/12/2021 3:00,4,0.488903835,0.122225959,Roosevelt,,
96,1,31/12/2021 3:00,31/12/2021 7:00,4,1.320124203,0.330031051,Roosevelt,,
97,1,31/12/2021 7:00,31/12/2021 11:00,4,93.16146752,23.29036688,Roosevelt,,
98,1,31/12/2021 11:00,31/12/2021 15:01,4.016666667,514.430562,128.6076405,Roosevelt,,
99,1,31/12/2021 15:01,31/12/2021 19:00,3.983333333,11.97222487,2.993056218,Roosevelt,,
100,1,31/12/2021 19:00,31/12/2021 23:00,4,6.22667296,1.55666824,Roosevelt,,
101,1,31/12/2021 23:00,1/1/2022 3:00,4,4.694103791,1.173525948,Roosevelt,,
102,2,1/1/2022 3:00,1/1/2022 7:00,4,1.237750658,0.309437665,Roosevelt,,
103,2,1/1/2022 7:00,1/1/2022 11:00,4,132.5012908,33.1253227,Roosevelt,,
104,2,1/1/2022 11:00,1/1/2022 15:00,4,481.4030446,120.3507612,Roosevelt,,
105,2,1/1/2022 15:00,1/1/2022 19:01,4.016666667,97.16130925,24.29032731,Roosevelt,,
106,2,1/1/2022 19:01,1/1/2022 23:00,3.983333333,389.4534604,97.36336509,Roosevelt,,
107,2,1/1/2022 23:00,2/1/2022 3:00,4,16.18801005,4.047002513,Roosevelt,,
108,3,2/1/2022 3:00,2/1/2022 7:00,4,14.00172873,3.500432182,Roosevelt,,
109,3,2/1/2022 7:00,2/1/2022 11:01,4.016666667,388.3349592,97.08373981,Roosevelt,,
110,3,2/1/2022 11:01,2/1/2022 15:00,3.983333333,26.94176622,6.735441555,Roosevelt,,
111,3,2/1/2022 15:00,2/1/2022 19:01,4.016666667,2893.781212,723.4453031,Roosevelt,,
112,3,2/1/2022 19:01,2/1/2022 23:00,3.983333333,39.49331139,9.873327847,Roosevelt,,
113,3,2/1/2022 23:00,3/1/2022 3:02,4.033333333,6.005561674,1.501390418,Roosevelt,,
114,4,3/1/2022 3:02,3/1/2022 7:00,3.966666667,0.489299371,0.122324843,Roosevelt,,
115,4,3/1/2022 7:00,3/1/2022 11:00,4,6.686881469,1.671720367,Roosevelt,,
116,4,3/1/2022 11:00,3/1/2022 15:00,4,10.2654082,2.566352049,Roosevelt,,
117,4,3/1/2022 15:00,3/1/2022 19:00,4,21.37800067,5.344500167,Roosevelt,,
118,4,3/1/2022 19:00,3/1/2022 23:00,4,20.19319016,5.048297539,Roosevelt,,
119,4,3/1/2022 23:00,4/1/2022 3:01,4.016666667,4742.944235,1185.736059,Roosevelt,,
120,5,4/1/2022 3:01,4/1/2022 7:00,3.983333333,1.564913832,0.391228458,Roosevelt,,
